Daytime/evening attendance,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
1,0,0,1,1,0,20,0,0,0,0,0,0,Dropout
1,0,0,0,1,0,19,6,6,14,6,6,13.66666667,Graduate
1,0,0,0,1,0,19,6,0,0,6,0,0,Dropout
1,0,0,1,0,0,20,6,6,13.42857143,6,5,12.4,Graduate
0,0,0,1,0,0,45,6,5,12.33333333,6,6,13,Graduate
0,0,1,1,1,0,50,5,5,11.85714286,5,5,11.5,Graduate
1,0,0,1,0,1,18,7,7,13.3,8,8,14.345,Graduate
1,0,0,0,1,0,22,5,0,0,5,0,0,Dropout
1,0,0,1,0,1,21,6,6,13.875,6,6,14.14285714,Graduate
1,0,1,0,0,0,18,6,5,11.4,6,2,13.5,Dropout
1,0,0,1,0,0,18,6,6,12.33333333,6,5,14.2,Graduate
1,0,0,1,0,1,18,8,7,13.21428571,8,7,13.21428571,Graduate
1,0,0,1,0,0,19,6,0,0,6,0,0,Dropout
1,0,0,1,0,1,21,6,6,10.57142857,6,5,11,Graduate
1,0,0,1,0,1,18,5,4,13.25,5,5,12,Graduate
1,0,0,1,0,0,20,6,5,13.2,6,0,0,Dropout
1,0,0,1,0,0,18,6,1,12,6,2,11,Enrolled
1,0,0,1,0,0,18,7,7,13.30625,8,8,14.545,Graduate
1,0,0,1,0,0,20,5,4,12.5,5,4,12.25,Graduate
1,0,0,1,0,0,18,7,6,11.66666667,7,6,13.5,Enrolled
1,0,0,1,0,1,21,0,0,0,0,0,0,Graduate
1,0,0,1,0,0,20,7,7,11.4375,8,8,11.425,Enrolled
1,0,0,1,0,0,18,8,7,12.85714286,8,7,12.85714286,Graduate
1,0,0,1,0,1,19,6,6,13.375,6,6,12.28571429,Graduate
1,0,0,1,0,0,19,7,6,13.29666667,8,7,14.11428571,Graduate
1,0,1,1,0,1,18,6,5,11.6,6,4,11,Enrolled
1,0,0,1,0,0,21,6,6,11.375,6,6,13.28571429,Graduate
1,0,0,1,0,0,18,5,5,12.66666667,5,4,13,Enrolled
1,0,0,1,0,0,20,5,5,12,5,5,12.33333333,Graduate
1,0,0,1,1,0,19,7,6,12.93333333,7,6,13.71666667,Enrolled
1,0,0,1,1,0,21,6,5,11.85714286,6,5,10.57142857,Enrolled
1,0,0,1,1,0,20,6,6,12.83333333,6,4,13.4,Graduate
1,0,0,0,1,0,18,5,3,11.33333333,5,2,13.5,Enrolled
0,0,0,1,0,0,19,6,6,12.66666667,6,6,14.375,Graduate
0,0,0,1,1,0,34,5,5,12.4,5,5,13.42857143,Graduate
1,0,1,0,1,0,37,7,0,0,7,1,10,Dropout
1,0,0,1,1,0,43,5,0,0,5,0,0,Dropout
1,0,0,1,0,0,55,5,1,10,5,2,12,Dropout
0,0,0,1,0,0,39,5,5,11,5,5,11.6,Graduate
1,0,1,0,0,0,20,6,3,11.66666667,6,3,12,Dropout
1,0,1,1,0,0,18,6,4,12.75,5,0,0,Dropout
1,0,0,1,0,0,22,5,5,14.8,5,5,15.8,Graduate
1,1,0,1,0,0,22,7,5,13.928,8,7,14.34285714,Graduate
1,0,0,0,0,0,20,6,4,13,6,5,13.8,Dropout
0,0,0,1,0,0,29,5,0,0,5,0,0,Dropout
0,0,0,1,0,0,24,5,2,11.5,5,3,14.33333333,Enrolled
1,0,0,1,0,0,18,6,6,11.66666667,6,5,13.2,Graduate
1,0,0,1,0,1,22,7,6,13.51666667,8,7,13.77142857,Graduate
0,0,0,1,0,1,21,6,6,11.5,6,6,13.28571429,Graduate
1,0,0,1,0,1,19,6,5,12.33333333,6,6,12.83333333,Graduate
1,0,0,1,0,1,24,6,6,13.66666667,6,6,14.16666667,Graduate
1,0,0,1,0,1,19,8,6,11.83333333,8,6,11.83333333,Enrolled
1,0,0,1,0,1,20,6,4,14,6,3,11,Enrolled
1,0,0,1,0,0,19,5,5,14.71428571,5,5,15.8,Graduate
0,0,0,1,0,0,27,5,5,10.6,5,5,11,Dropout
1,0,0,1,0,0,18,7,7,13.04444444,8,8,13.595,Graduate
1,0,0,1,0,0,39,6,0,0,6,0,0,Dropout
1,0,0,1,0,0,27,6,5,13,11,10,12.9,Dropout
1,0,0,1,0,0,18,8,8,14.935,8,8,14.935,Graduate
1,0,0,1,0,0,18,0,0,0,0,0,0,Enrolled
1,0,0,1,0,0,18,7,6,13.13333333,8,7,12.22142857,Graduate
1,0,0,1,0,1,21,6,6,12,6,6,12,Graduate
1,0,0,1,1,1,19,0,0,0,0,0,0,Enrolled
1,0,0,1,1,0,19,6,5,11.4,6,1,10,Enrolled
1,0,0,1,1,0,24,6,0,0,6,0,0,Enrolled
